 Date_TimeUTC,SSH,SST,Temp,Bar_Press,Residuals,Adj_Res,Wind_Dir,Wind_Gust,Wind_Sp,Solomon_Islands
01/01/15 00:00,1.045,-9999,31.2,1005.5,0.066,-0.004,105,4.5,2.3,
01/01/15 01:00,1.058,-9999,29.6,1005.2,0.055,-0.023,20,4.6,3.4,
01/01/15 02:00,1.055,-9999,30.4,1004.7,0.048,-0.032,39,5.5,3.9,
01/01/15 03:00,1.052,-9999,30.2,1003.7,0.057,-0.029,42,6,3.6,
01/01/15 04:00,1.02,-9999,30.3,1003.1,0.049,-0.047,48,4.7,2.9,
01/01/15 05:00,0.979,-9999,30.1,1003,0.049,-0.052,26,3.9,2.2,
01/01/15 06:00,0.909,-9999,29.9,1003.3,0.034,-0.068,28,2.9,1.6,
01/01/15 07:00,0.843,-9999,29.3,1004.2,0.039,-0.059,187,3.9,2.8,
01/01/15 08:00,0.763,-9999,28.3,1005.1,0.05,-0.039,186,5,3.2,
01/01/15 09:00,0.655,-9999,26.4,1006.1,0.044,-0.036,199,6.3,1.8,
01/01/15 10:00,0.566,-9999,26.8,1006.7,0.051,-0.019,193,5.7,3.8,
01/01/15 11:00,0.483,-9999,26.9,1006.9,0.042,-0.023,189,6,3.9,
01/01/15 12:00,0.434,-9999,27.9,1007.1,0.029,-0.034,237,4.9,0.9,
01/01/15 13:00,0.448,-9999,26.7,1006.7,0.037,-0.024,202,4.1,1.5,
01/01/15 14:00,0.499,-9999,26.4,1005.9,0.058,-0.007,192,3.9,2.9,
01/01/15 15:00,0.559,-9999,26.2,1004.8,0.073,-0.002,192,4.2,2.6,
01/01/15 16:00,0.631,-9999,26.3,1004.2,0.082,-0.002,193,4.8,3.2,
01/01/15 17:00,0.691,-9999,26.1,1004.3,0.074,-0.016,250,5.1,1.6,
01/01/15 18:00,0.753,-9999,25.9,1004.7,0.065,-0.024,187,5.4,3.4,
01/01/15 19:00,0.798,-9999,25.8,1005.5,0.04,-0.044,179,5.8,2.9,
01/01/15 20:00,0.866,-9999,26.7,1006.5,0.048,-0.028,192,5.7,3.1,
01/01/15 21:00,0.937,-9999,28.6,1006.7,0.069,0.002,184,5.5,2.9,
01/01/15 22:00,0.978,-9999,30.1,1007,0.07,0.005,76,4.3,1.6,
01/01/15 23:00,1,-9999,29.6,1006.7,0.056,-0.006,23,3.1,2.2,
02/01/15 00:00,1.018,-9999,29.5,1007,0.04,-0.024,10,3.4,1.6,
02/01/15 01:00,1.066,-9999,29.9,1006.4,0.052,-0.011,28,3.8,3.1,
02/01/15 02:00,1.091,-9999,30.2,1005.5,0.053,-0.015,18,3.8,2.4,
02/01/15 03:00,1.085,-9999,30.4,1004.7,0.05,-0.028,8,3.3,2.2,
02/01/15 04:00,1.066,-9999,30.6,1004.3,0.053,-0.033,323,2.9,1.7,
02/01/15 05:00,0.996,-9999,30.7,1004.3,0.025,-0.064,188,4.8,3.2,
02/01/15 06:00,0.912,-9999,28.5,1004.5,0.007,-0.082,185,5.2,3,
02/01/15 07:00,0.829,-9999,28.4,1005.2,0.005,-0.082,188,5.5,3.8,
02/01/15 08:00,0.736,-9999,28,1005.9,0.009,-0.07,193,5.2,3.3,
02/01/15 09:00,0.653,-9999,27.7,1006.3,0.035,-0.038,189,5,3.2,
02/01/15 10:00,0.569,-9999,27.6,1007,0.061,-0.007,182,5.2,2.4,
02/01/15 11:00,0.47,-9999,26.9,1007.2,0.054,-0.008,179,4.4,2.8,
02/01/15 12:00,0.395,-9999,26.6,1007.3,0.033,-0.027,178,4.6,2.9,
02/01/15 13:00,0.397,-9999,26.6,1006.9,0.038,-0.021,187,5.2,3.4,
02/01/15 14:00,0.434,-9999,26.5,1005.9,0.038,-0.026,187,5.1,3.4,
02/01/15 15:00,0.502,-9999,26.4,1005.4,0.05,-0.023,190,5,3.2,
02/01/15 16:00,0.595,-9999,26.1,1004.7,0.075,-0.004,194,6,3.4,
02/01/15 17:00,0.677,-9999,25.9,1004.3,0.08,-0.006,188,5.8,3.7,
02/01/15 18:00,0.744,-9999,25.9,1004.8,0.074,-0.015,188,6.1,3.3,
02/01/15 19:00,0.807,-9999,25.6,1005.5,0.068,-0.016,185,5.7,3.8,
02/01/15 20:00,0.863,-9999,26.1,1005.9,0.062,-0.015,187,6.6,4.5,
02/01/15 21:00,0.929,-9999,27.2,1006.3,0.076,0.003,185,5.5,3.4,
02/01/15 22:00,0.968,-9999,28.9,1006.5,0.072,0.003,185,5.8,2.3,
02/01/15 23:00,0.983,-9999,30.7,1006.5,0.051,-0.016,140,3.5,0.5,
03/01/15 00:00,1.002,-9999,30,1006.7,0.035,-0.031,46,3.3,2.4,
03/01/15 01:00,1.046,-9999,29.9,1006.1,0.041,-0.025,23,3.4,2.6,
03/01/15 02:00,1.089,-9999,29.9,1005.6,0.044,-0.028,25,3.5,2.9,
03/01/15 03:00,1.126,-9999,29.9,1004.7,0.061,-0.015,33,3.5,2.4,
03/01/15 04:00,1.123,-9999,30.2,1003.8,0.07,-0.016,19,3.1,0.9,
03/01/15 05:00,1.063,-9999,30.1,1004,0.048,-0.046,353,2.5,1.4,
03/01/15 06:00,0.976,-9999,30.2,1004.5,0.028,-0.063,5,2.3,1.4,
03/01/15 07:00,0.863,-9999,30.2,1004.5,0.006,-0.082,301,2.4,0.4,
03/01/15 08:00,0.764,-9999,30.1,1005.5,0.011,-0.075,79,2.7,1.4,
03/01/15 09:00,0.679,-9999,29.1,1006.1,0.039,-0.037,188,2.8,1.9,
03/01/15 10:00,0.596,-9999,28.4,1006.6,0.073,0.002,203,4.2,2.5,
03/01/15 11:00,0.48,-9999,27.4,1006.9,0.062,-0.004,103,4.6,2.1,
03/01/15 12:00,0.372,-9999,26.7,1006.8,0.025,-0.038,157,5.7,2.2,
03/01/15 13:00,0.354,-9999,26,1006.5,0.029,-0.035,178,5.7,3,
03/01/15 14:00,0.382,-9999,25.9,1005.7,0.026,-0.042,234,4.7,1.4,
03/01/15 15:00,0.448,-9999,26.4,1004.6,0.029,-0.047,264,2.9,1.9,
03/01/15 16:00,0.536,-9999,26.4,1003.8,0.044,-0.042,194,3.4,2.4,
03/01/15 17:00,0.641,-9999,26.8,1002.9,0.069,-0.027,131,5.1,1.8,
03/01/15 18:00,0.717,-9999,26.2,1003.7,0.066,-0.037,207,3,0.5,
03/01/15 19:00,0.775,-9999,26.1,1004.2,0.056,-0.038,191,4.3,2.3,
03/01/15 20:00,0.832,-9999,26.3,1004.7,0.056,-0.033,191,4,2.6,
03/01/15 21:00,0.901,-9999,26.9,1005.1,0.076,-0.009,180,4.4,3.1,
03/01/15 22:00,0.943,-9999,29.3,1005.3,0.073,-0.008,165,4.8,1.5,
03/01/15 23:00,0.944,-9999,29.4,1004.5,0.037,-0.043,354,2.8,2,
04/01/15 00:00,0.954,-9999,29.6,1004.5,0.011,-0.077,31,4.6,3.1,
04/01/15 01:00,1.002,-9999,29.9,1004.3,0.019,-0.068,37,5.8,4.1,
04/01/15 02:00,1.06,-9999,30,1003.2,0.03,-0.06,47,6.2,3.2,
04/01/15 03:00,1.124,-9999,30.3,1002.4,0.052,-0.049,56,6.2,4.3,
04/01/15 04:00,1.151,-9999,30.5,1002,0.069,-0.039,83,6.8,2.8,
04/01/15 05:00,1.121,-9999,29.6,1001.7,0.065,-0.047,215,5.5,2.5,
04/01/15 06:00,1.038,-9999,28.5,1002.1,0.043,-0.072,189,5.7,2.8,
04/01/15 07:00,0.904,-9999,28,1002.7,0.001,-0.109,191,4.6,3.2,
04/01/15 08:00,0.793,-9999,27.9,1003.5,0.004,-0.1,191,5,2.6,
04/01/15 09:00,0.713,-9999,27.6,1004,0.044,-0.052,186,4.8,2.8,
04/01/15 10:00,0.646,-9999,27.7,1004.5,0.095,0.003,190,4.6,3,
04/01/15 11:00,0.529,-9999,27.6,1004.7,0.088,0.002,192,4.2,2.9,
04/01/15 12:00,0.395,-9999,27.4,1004.4,0.04,-0.045,188,4.3,2.4,
04/01/15 13:00,0.347,-9999,27.1,1003.5,0.032,-0.056,185,4,2.4,
04/01/15 14:00,0.375,-9999,26.9,1002.3,0.044,-0.054,196,5,2.2,
04/01/15 15:00,0.457,-9999,26.6,1002.1,0.065,-0.045,190,4.1,2.6,
04/01/15 16:00,0.534,-9999,26.6,1001.8,0.064,-0.047,185,4.4,2.9,
04/01/15 17:00,0.611,-9999,26.4,1001.7,0.06,-0.054,193,5.1,3.1,
04/01/15 18:00,0.708,-9999,26.4,1001.9,0.075,-0.041,197,4.6,1.8,
04/01/15 19:00,0.749,-9999,26.3,1002.7,0.045,-0.067,189,4.3,2.9,
04/01/15 20:00,0.781,-9999,26.9,1003.3,0.026,-0.078,195,5,2.7,
04/01/15 21:00,0.864,-9999,28,1003.3,0.069,-0.03,190,4.3,2.5,
04/01/15 22:00,0.94,-9999,31.3,1003,0.106,0.006,139,3.4,1,
04/01/15 23:00,0.954,-9999,29.6,1003.1,0.081,-0.021,5,4.3,3.3,
05/01/15 00:00,0.955,-9999,29.7,1003.2,0.047,-0.054,6,3.4,2.2,
05/01/15 01:00,0.976,-9999,29.6,1002.7,0.027,-0.073,343,4,2.7,
05/01/15 02:00,1.037,-9999,26.6,1002,0.038,-0.067,210,9.5,4.8,
05/01/15 03:00,1.098,-9999,31.2,1001,0.043,-0.071,209,6.2,0.6,
05/01/15 04:00,1.142,-9999,29.8,1001,0.051,-0.07,8,2.3,0.7,
05/01/15 05:00,1.146,30.9,30.5,1000.8,0.062,-0.06,224,2.5,0.3,
05/01/15 06:00,1.094,31,27.3,1001.1,0.056,-0.068,273,11.1,3.8,
05/01/15 07:00,0.982,30.9,27.3,1001.7,0.028,-0.091,235,3.8,0.5,
05/01/15 08:00,0.832,30.9,28.2,1002.2,-0.004,-0.119,333,4.2,1.5,
05/01/15 09:00,0.721,30.8,27.4,1003.5,0.015,-0.093,192,2.4,1.1,
05/01/15 10:00,0.648,30.7,27.3,1003.5,0.066,-0.031,230,3.3,0.9,
05/01/15 11:00,0.576,30.6,27.1,1003.5,0.104,0.007,185,1.6,0.3,
05/01/15 12:00,0.461,30.6,27,1003.3,0.081,-0.017,188,2.7,1.2,
05/01/15 13:00,0.365,30.6,26.4,1003.3,0.04,-0.058,193,3.5,1.7,
05/01/15 14:00,0.379,30.6,26.2,1001.5,0.055,-0.046,212,3.3,1.6,
05/01/15 15:00,0.453,30.6,26.2,1000.8,0.079,-0.039,199,3.6,2,
05/01/15 16:00,0.529,30.6,26.1,1001,0.075,-0.049,202,3.2,1.1,
05/01/15 17:00,0.62,30.5,25.8,1001.2,0.083,-0.038,174,2.6,1.8,
05/01/15 18:00,0.715,30.5,25.8,1001.8,0.096,-0.024,186,3.7,0.9,
05/01/15 19:00,0.767,30.3,25.9,1002.7,0.073,-0.04,192,5,3.1,
05/01/15 20:00,0.778,30.3,26,1002.6,0.032,-0.073,185,5.8,3.9,
05/01/15 21:00,0.81,30.1,27.4,1003.2,0.034,-0.072,188,4.9,2.6,
05/01/15 22:00,0.869,30,28.8,1003.5,0.068,-0.031,179,4.2,2.1,
05/01/15 23:00,0.924,30,29.2,1003.6,0.09,-0.006,22,3.4,2.2,
06/01/15 00:00,0.911,30.1,29.4,1003.5,0.041,-0.055,35,3.9,3.2,
06/01/15 01:00,0.92,30.5,29.4,1002.9,0.011,-0.087,30,4,3.1,
06/01/15 02:00,0.984,30.7,29.9,1002.5,0.025,-0.077,9,3.7,2.2,
06/01/15 03:00,1.075,30.7,30.1,1001.2,0.056,-0.052,28,3.4,2.6,
06/01/15 04:00,1.142,31.1,30.2,1000.7,0.068,-0.053,37,4.1,2.9,
06/01/15 05:00,1.173,31.4,30.4,1000.8,0.078,-0.046,39,4.2,3.1,
06/01/15 06:00,1.143,31,30.4,1001.3,0.074,-0.05,62,4.3,3.1,
06/01/15 07:00,1.048,31.3,26.2,1003,0.049,-0.067,219,6.1,4.5,
06/01/15 08:00,0.886,31.2,26.7,1002.9,-0.002,-0.104,262,3.7,1.8,
06/01/15 09:00,0.735,31.2,27,1002.9,-0.019,-0.122,197,3.2,2,
06/01/15 10:00,0.637,31.1,27.1,1003.1,0.018,-0.085,296,2.8,0.1,
06/01/15 11:00,0.58,30.8,27.1,1003.5,0.075,-0.025,200,3.9,1.7,
06/01/15 12:00,0.496,30.9,27.2,1003.8,0.081,-0.015,186,4.7,3.3,
06/01/15 13:00,0.405,30.8,27.1,1003.4,0.054,-0.04,193,4.8,2.8,
06/01/15 14:00,0.357,30.8,27,1002.5,0.024,-0.075,188,4.5,2.6,
06/01/15 15:00,0.399,30.8,27.1,1002.2,0.032,-0.076,243,5.1,2.6,
06/01/15 16:00,0.479,30.6,26.5,1001.8,0.036,-0.074,210,4.3,3.2,
06/01/15 17:00,0.571,30.6,26.5,1001.7,0.041,-0.074,186,4.6,2.1,
06/01/15 18:00,0.66,30.6,26.5,1002.8,0.048,-0.066,343,7.8,6.2,
06/01/15 19:00,0.77,30.6,25.4,1002.7,0.08,-0.024,194,6.3,1.9,
06/01/15 20:00,0.81,30.5,26.2,1002.8,0.064,-0.041,197,4.4,3,
06/01/15 21:00,0.812,30.5,27.4,1003.2,0.038,-0.066,190,4.4,2.6,
06/01/15 22:00,0.834,30.3,30.1,1003.3,0.05,-0.049,186,4.5,2.6,
06/01/15 23:00,0.888,30.5,28.6,1003.7,0.089,-0.009,68,6.7,2,
07/01/15 00:00,0.907,30.5,26.8,1003.7,0.077,-0.018,249,8.3,1.7,
07/01/15 01:00,0.894,30.5,28.3,1003.7,0.026,-0.068,178,3.4,1.4,
07/01/15 02:00,0.919,30.4,28.9,1002.8,0.005,-0.091,27,2.7,0.4,
