Date_TimeUTC,SSH,SST,Temp,Bar_Press,Residuals,Adj_Res,Wind_Dir,Wind_Gust,Wind_Sp,Solomon_Islands
01/01/20 00:00,0.725,30.2,30,1010.7,-0.088,-0.112,32,4.8,3.8,
01/01/20 01:00,0.74,30.3,30.4,1010,-0.092,-0.118,29,4.9,3.8,
01/01/20 02:00,0.783,30.4,29.7,1009,-0.087,-0.12,7,5.7,3.9,
01/01/20 03:00,0.853,30.5,29.7,1008.1,-0.067,-0.11,333,4,2.9,
01/01/20 04:00,0.923,30.7,30,1007.2,-0.042,-0.094,322,3.7,2.4,
01/01/20 05:00,0.957,30.7,30.2,1007.2,-0.042,-0.103,337,4,2.8,
01/01/20 06:00,0.966,30.7,30,1007.6,-0.053,-0.113,325,3.4,2.2,
01/01/20 07:00,0.937,30.9,30.2,1008.3,-0.086,-0.142,338,3.4,2.3,
01/01/20 08:00,0.913,30.9,30.2,1009,-0.085,-0.134,322,3,0.1,
01/01/20 09:00,0.869,30.9,29.3,1010,-0.068,-0.109,205,2.6,0.5,
01/01/20 10:00,0.797,30.6,28.6,1010.7,-0.052,-0.083,181,3.8,2.1,
01/01/20 11:00,0.687,30.7,28.5,1011.3,-0.056,-0.08,192,3.9,2.5,
01/01/20 12:00,0.572,30.3,27.8,1011.3,-0.062,-0.081,192,5,3.1,
01/01/20 13:00,0.475,30.4,27.4,1010.8,-0.068,-0.088,191,5,3.3,
01/01/20 14:00,0.402,30.4,26.8,1010.2,-0.085,-0.11,192,5.4,3.7,
01/01/20 15:00,0.382,30.3,26.6,1009.7,-0.085,-0.115,192,5.8,3.9,
01/01/20 16:00,0.42,30.2,26.4,1009.2,-0.053,-0.089,197,6,3.8,
01/01/20 17:00,0.461,30.1,26,1009.2,-0.044,-0.085,195,5.4,3.3,
01/01/20 18:00,0.48,30.1,25.6,1009.3,-0.079,-0.119,193,5.4,3.9,
01/01/20 19:00,0.531,30,25.6,1009.5,-0.099,-0.138,190,5.7,4,
01/01/20 20:00,0.603,29.9,26,1009.8,-0.1,-0.137,192,5.9,3.8,
01/01/20 21:00,0.662,29.9,28.2,1010.4,-0.101,-0.134,186,5.5,2.1,
01/01/20 22:00,0.729,29.8,29.1,1010.5,-0.075,-0.104,26,3.4,2.4,
01/01/20 23:00,0.767,30,29.8,1010.7,-0.062,-0.089,38,5,4.1,
02/01/20 00:00,0.764,30.1,29.6,1010.4,-0.076,-0.102,32,5.5,3.3,
02/01/20 01:00,0.773,30.1,29.7,1009.9,-0.075,-0.103,24,4.7,2.9,
02/01/20 02:00,0.783,30.2,29.5,1008.9,-0.085,-0.12,4,4,2.6,
02/01/20 03:00,0.81,30.3,29.8,1008.2,-0.092,-0.136,347,3.5,2.6,
02/01/20 04:00,0.869,30.4,29.9,1007.3,-0.069,-0.12,0,4,2.3,
